date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Andhra Pradesh,Nalgonda,508115,1,0,0
01-09-2025,Andhra Pradesh,Nandyal,518221,1,0,0
01-09-2025,Andhra Pradesh,Nandyal,518502,1,0,0
01-09-2025,Andhra Pradesh,Nandyal,518563,1,0,0
01-09-2025,Andhra Pradesh,Nellore,524134,0,1,0
01-09-2025,Andhra Pradesh,Nellore,524142,6,0,0
01-09-2025,Andhra Pradesh,Nellore,524218,1,0,0
01-09-2025,Andhra Pradesh,Nellore,524221,1,0,0
01-09-2025,Andhra Pradesh,Nellore,524240,2,1,0
01-09-2025,Andhra Pradesh,Nellore,524309,1,0,0
01-09-2025,Andhra Pradesh,Nellore,524315,3,0,0
01-09-2025,Andhra Pradesh,Nellore,524343,3,0,0
01-09-2025,Andhra Pradesh,Nellore,524366,1,0,0
01-09-2025,Andhra Pradesh,Nellore,524405,2,0,0
01-09-2025,Andhra Pradesh,Nellore,524406,1,0,0
01-09-2025,Andhra Pradesh,Nellore,524412,2,0,0
01-09-2025,Andhra Pradesh,Palnadu,522408,1,0,0
01-09-2025,Andhra Pradesh,Palnadu,522415,2,0,0
01-09-2025,Andhra Pradesh,Palnadu,522611,2,0,0
01-09-2025,Andhra Pradesh,Prakasam,523105,2,1,0
01-09-2025,Andhra Pradesh,Prakasam,523108,1,0,0
01-09-2025,Andhra Pradesh,Prakasam,523111,1,0,0
01-09-2025,Andhra Pradesh,Prakasam,523116,2,0,0
01-09-2025,Andhra Pradesh,Prakasam,523211,1,0,0
01-09-2025,Andhra Pradesh,Prakasam,523225,1,0,0
01-09-2025,Andhra Pradesh,Prakasam,523240,6,2,0
01-09-2025,Andhra Pradesh,Prakasam,523246,0,1,0
01-09-2025,Andhra Pradesh,Prakasam,523252,2,1,0
01-09-2025,Andhra Pradesh,Prakasam,523327,1,0,0
01-09-2025,Andhra Pradesh,Prakasam,523367,1,0,0
01-09-2025,Andhra Pradesh,Prakasam,523371,3,2,0
01-09-2025,Andhra Pradesh,Prakasam,523372,1,0,0
01-09-2025,Andhra Pradesh,Rangareddi,500047,1,0,0
01-09-2025,Andhra Pradesh,Rangareddi,500076,2,0,0
01-09-2025,Andhra Pradesh,Rangareddi,500092,0,1,0
01-09-2025,Andhra Pradesh,Rangareddi,501142,1,0,0
01-09-2025,Andhra Pradesh,Rangareddi,501359,1,0,0
01-09-2025,Andhra Pradesh,Rangareddi,501503,3,0,0
01-09-2025,Andhra Pradesh,Rangareddi,509337,2,1,0
01-09-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,523115,1,0,0
01-09-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,524142,0,11,3
01-09-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,524313,0,2,2
01-09-2025,Andhra Pradesh,Sri Sathya Sai,515341,1,0,0
01-09-2025,Andhra Pradesh,Sri Sathya Sai,515501,3,0,0
01-09-2025,Andhra Pradesh,Sri Sathya Sai,515671,2,0,0
01-09-2025,Andhra Pradesh,Srikakulam,532123,1,0,0
01-09-2025,Andhra Pradesh,Srikakulam,532213,3,1,0
01-09-2025,Andhra Pradesh,Srikakulam,532219,1,0,0
01-09-2025,Andhra Pradesh,Srikakulam,532221,2,0,0
01-09-2025,Andhra Pradesh,Srikakulam,532242,2,1,0
01-09-2025,Andhra Pradesh,Srikakulam,532407,4,0,0
01-09-2025,Andhra Pradesh,Srikakulam,532427,1,0,0
01-09-2025,Andhra Pradesh,Srikakulam,532432,1,0,0
01-09-2025,Andhra Pradesh,Tirupati,517507,3,0,0
01-09-2025,Andhra Pradesh,Tirupati,517571,1,0,0
01-09-2025,Andhra Pradesh,Tirupati,524121,1,0,0
01-09-2025,Andhra Pradesh,Visakhapatnam,530001,2,0,1
01-09-2025,Andhra Pradesh,Visakhapatnam,530011,5,0,0
01-09-2025,Andhra Pradesh,Visakhapatnam,530022,2,0,0
01-09-2025,Andhra Pradesh,Visakhapatnam,531024,2,0,0
01-09-2025,Andhra Pradesh,Visakhapatnam,531030,2,0,0
01-09-2025,Andhra Pradesh,Vizianagaram,535005,1,0,0
01-09-2025,Andhra Pradesh,Vizianagaram,535126,1,1,0
01-09-2025,Andhra Pradesh,Vizianagaram,535128,2,0,0
01-09-2025,Andhra Pradesh,Vizianagaram,535216,3,0,0
01-09-2025,Andhra Pradesh,Vizianagaram,535534,1,0,0
01-09-2025,Andhra Pradesh,Vizianagaram,535591,0,1,0
01-09-2025,Andhra Pradesh,Vizianagaram,535592,2,1,0
01-09-2025,Andhra Pradesh,Vizianagaram,535593,1,0,0
01-09-2025,Andhra Pradesh,Warangal,506001,1,0,0
01-09-2025,Andhra Pradesh,Warangal,506101,1,2,0
01-09-2025,Andhra Pradesh,Warangal,506112,1,0,0
01-09-2025,Andhra Pradesh,Warangal,506132,1,1,0
01-09-2025,Andhra Pradesh,Warangal,506134,1,0,0
01-09-2025,Andhra Pradesh,Warangal,506332,1,0,0
01-09-2025,Andhra Pradesh,Warangal,506348,1,0,0
01-09-2025,Andhra Pradesh,Warangal,506381,1,0,0
01-09-2025,Andhra Pradesh,West Godavari,534002,3,0,0
01-09-2025,Andhra Pradesh,West Godavari,534004,1,0,0
01-09-2025,Andhra Pradesh,West Godavari,534165,1,0,0
01-09-2025,Andhra Pradesh,West Godavari,534186,2,0,0
01-09-2025,Andhra Pradesh,West Godavari,534195,1,0,0
01-09-2025,Andhra Pradesh,West Godavari,534199,2,0,0
01-09-2025,Andhra Pradesh,West Godavari,534201,5,0,0
01-09-2025,Andhra Pradesh,West Godavari,534204,2,0,0
01-09-2025,Andhra Pradesh,West Godavari,534209,0,1,0
01-09-2025,Andhra Pradesh,West Godavari,534211,2,0,0
01-09-2025,Andhra Pradesh,West Godavari,534225,1,0,0
01-09-2025,Andhra Pradesh,West Godavari,534281,3,0,0
01-09-2025,Andhra Pradesh,West Godavari,534301,3,1,0
01-09-2025,Andhra Pradesh,West Godavari,534305,1,0,0
01-09-2025,Andhra Pradesh,West Godavari,534313,1,0,0
01-09-2025,Andhra Pradesh,West Godavari,534425,2,0,0
01-09-2025,Andhra Pradesh,West Godavari,534432,1,0,0
01-09-2025,Andhra Pradesh,West Godavari,534462,3,0,0
01-09-2025,Andhra Pradesh,West Godavari,534475,2,0,0
01-09-2025,Andhra Pradesh,Y. S. R,516002,2,0,0
01-09-2025,Andhra Pradesh,Y. S. R,516003,2,1,0
01-09-2025,Andhra Pradesh,Y. S. R,516172,2,0,0
01-09-2025,Andhra Pradesh,Y. S. R,516233,1,0,0
01-09-2025,Andhra Pradesh,Y. S. R,516289,1,0,0
01-09-2025,Andhra Pradesh,Y. S. R,516433,1,0,0
01-09-2025,Andhra Pradesh,Y. S. R,516501,1,0,0
01-09-2025,Arunachal Pradesh,Changlang,792120,1,0,0
01-09-2025,Arunachal Pradesh,Changlang,792122,4,0,0
01-09-2025,Arunachal Pradesh,East Kameng,790102,2,1,0
01-09-2025,Arunachal Pradesh,Tawang,790104,0,1,0
01-09-2025,Arunachal Pradesh,Tawang,790105,2,0,0
01-09-2025,Arunachal Pradesh,West Siang,791125,0,1,0
01-09-2025,Assam,Bajali,781375,1,0,0
01-09-2025,Assam,Baksa,781315,6,1,0
01-09-2025,Assam,Baksa,781340,1,0,0
01-09-2025,Assam,Baksa,781360,3,1,0
01-09-2025,Assam,Barpeta,781316,22,1,1
01-09-2025,Assam,Barpeta,781318,3,1,0
01-09-2025,Assam,Biswanath,784166,2,0,0
01-09-2025,Assam,Biswanath,784172,7,4,0
01-09-2025,Assam,Cachar,788001,1,1,0
01-09-2025,Assam,Cachar,788002,7,5,0
01-09-2025,Assam,Cachar,788003,5,1,0
01-09-2025,Assam,Cachar,788015,4,0,0
01-09-2025,Assam,Cachar,788108,0,1,0
01-09-2025,Assam,Cachar,788110,3,0,0
01-09-2025,Assam,Cachar,788120,7,6,0
01-09-2025,Assam,Cachar,788123,3,0,0
01-09-2025,Assam,Cachar,788817,1,0,0
01-09-2025,Assam,Chirang,783385,2,3,0
01-09-2025,Assam,Darrang,784115,14,8,0
01-09-2025,Assam,Darrang,784146,6,5,0
01-09-2025,Assam,Darrang,784190,12,5,0
01-09-2025,Assam,Darrang,784529,3,0,0
01-09-2025,Assam,Dhemaji,787061,1,1,0
01-09-2025,Assam,Dhubri,783127,4,1,0
01-09-2025,Assam,Dhubri,783135,2,4,0
01-09-2025,Assam,Dhubri,783334,40,6,0
01-09-2025,Assam,Dhubri,783371,1,2,0
01-09-2025,Assam,Dibrugarh,785676,1,0,0
01-09-2025,Assam,Goalpara,783134,0,2,0
01-09-2025,Assam,Golaghat,785610,2,1,0
01-09-2025,Assam,Golaghat,785619,0,4,0
01-09-2025,Assam,Golaghat,785622,0,1,0
01-09-2025,Assam,Hailakandi,788151,3,1,0
01-09-2025,Assam,Hailakandi,788152,14,5,0
01-09-2025,Assam,Hojai,782439,4,3,0
01-09-2025,Assam,Hojai,782446,7,1,0
01-09-2025,Assam,Hojai,782481,2,0,0
01-09-2025,Assam,Jorhat,785004,2,0,0
01-09-2025,Assam,Jorhat,785015,2,0,0
01-09-2025,Assam,Jorhat,785108,1,1,0
01-09-2025,Assam,Jorhat,785111,2,0,0
01-09-2025,Assam,Jorhat,785633,1,0,0
01-09-2025,Assam,Jorhat,785683,1,0,0
01-09-2025,Assam,Kamrup,781031,1,0,0
01-09-2025,Assam,Kamrup,781037,0,1,0
01-09-2025,Assam,Kamrup,781123,11,3,0
01-09-2025,Assam,Kamrup,781124,2,0,0
01-09-2025,Assam,Kamrup,781127,2,4,0
01-09-2025,Assam,Kamrup,781135,2,0,0
01-09-2025,Assam,Kamrup,781141,1,0,0
01-09-2025,Assam,Kamrup,781365,1,0,0
01-09-2025,Assam,Kamrup,781366,3,1,0
01-09-2025,Assam,Kamrup Metro,781003,1,2,0
01-09-2025,Assam,Kamrup Metro,781004,0,1,0
01-09-2025,Assam,Kamrup Metro,781012,3,2,0
01-09-2025,Assam,Karbi Anglong,782448,1,2,0
01-09-2025,Assam,Karimganj,788701,9,2,0
01-09-2025,Assam,Karimganj,788719,5,1,0
01-09-2025,Assam,Karimganj,788720,12,2,0
01-09-2025,Assam,Karimganj,788724,3,0,0
01-09-2025,Assam,Karimganj,788803,1,0,0
01-09-2025,Assam,Karimganj,788806,23,3,0
01-09-2025,Assam,Kokrajhar,783361,1,2,0
01-09-2025,Assam,Lakhimpur,784160,8,0,0
01-09-2025,Assam,Lakhimpur,784161,10,1,1
01-09-2025,Assam,Lakhimpur,784165,3,2,0
01-09-2025,Assam,Lakhimpur,787052,3,1,0
01-09-2025,Assam,Lakhimpur,787055,9,4,0
01-09-2025,Assam,Marigaon,782105,15,6,0
01-09-2025,Assam,Marigaon,782106,4,3,0
01-09-2025,Assam,Marigaon,782126,16,6,0
01-09-2025,Assam,Nagaon,782125,15,9,0
01-09-2025,Assam,Nagaon,782135,2,0,0
01-09-2025,Assam,Nagaon,782140,12,4,0
01-09-2025,Assam,Nagaon,782141,1,3,0
01-09-2025,Assam,Nagaon,782445,1,1,0
01-09-2025,Assam,Nagaon,782481,1,0,0
01-09-2025,Assam,Nalbari,781338,0,1,0
01-09-2025,Assam,Nalbari,781341,2,0,0
01-09-2025,Assam,Nalbari,781367,0,1,0
01-09-2025,Assam,Nalbari,781370,1,0,0
01-09-2025,Assam,Sonitpur,784027,8,11,0
01-09-2025,Assam,Sonitpur,784028,0,1,0
01-09-2025,Assam,Sonitpur,784149,49,9,0
01-09-2025,Assam,Sonitpur,784169,2,1,0
01-09-2025,Assam,Sonitpur,784178,2,1,0
01-09-2025,Assam,Sonitpur,784180,2,1,0
01-09-2025,Assam,Sonitpur,784501,1,1,0
01-09-2025,Assam,Sonitpur,784504,14,0,0
01-09-2025,Assam,Sonitpur,784505,10,5,0
01-09-2025,Assam,South Salmara Mankachar,783131,8,6,0
01-09-2025,Assam,Sribhumi,788713,1,0,0
01-09-2025,Assam,Tinsukia,786147,13,0,0
01-09-2025,Assam,Tinsukia,786151,2,1,0
01-09-2025,Assam,Tinsukia,786154,3,1,0
01-09-2025,Assam,Tinsukia,786156,7,3,0
01-09-2025,Assam,Tinsukia,786157,5,0,0
01-09-2025,Assam,Tinsukia,786183,1,0,0
01-09-2025,Assam,Udalguri,784190,0,1,0
01-09-2025,Assam,Udalguri,784522,17,2,0
01-09-2025,Assam,Udalguri,784524,2,3,0
01-09-2025,Bihar,Araria,854318,30,19,0
01-09-2025,Bihar,Araria,854329,21,2,0
01-09-2025,Bihar,Araria,854333,17,3,0
01-09-2025,Bihar,Araria,854334,5,10,0
01-09-2025,Bihar,Arwal,804401,1,11,0
01-09-2025,Bihar,Arwal,804421,2,10,0
01-09-2025,Bihar,Aurangabad,824121,1,10,0
01-09-2025,Bihar,Aurangabad,824122,1,5,0
01-09-2025,Bihar,Aurangabad,824303,0,3,0
01-09-2025,Bihar,Banka,813104,5,8,0
01-09-2025,Bihar,Begusarai,851115,0,1,0
01-09-2025,Bihar,Begusarai,851126,1,1,0
01-09-2025,Bihar,Begusarai,851127,7,4,0
01-09-2025,Bihar,Begusarai,851133,8,11,0
01-09-2025,Bihar,Begusarai,851204,0,1,0
01-09-2025,Bihar,Bhagalpur,812004,5,4,0
01-09-2025,Bihar,Bhagalpur,813113,1,1,0
01-09-2025,Bihar,Bhagalpur,813204,3,12,0
01-09-2025,Bihar,Bhagalpur,813209,4,10,0
01-09-2025,Bihar,Bhagalpur,813210,7,9,0
01-09-2025,Bihar,Bhagalpur,813231,0,1,0
01-09-2025,Bihar,Bhagalpur,853202,6,4,0
01-09-2025,Bihar,Bhagalpur,853203,7,4,0
01-09-2025,Bihar,Bhojpur,802155,2,5,0
01-09-2025,Bihar,Bhojpur,802156,1,7,0
01-09-2025,Bihar,Bhojpur,802161,4,15,0
01-09-2025,Bihar,Bhojpur,802162,1,3,0
01-09-2025,Bihar,Bhojpur,802164,1,3,0
01-09-2025,Bihar,Bhojpur,802202,1,0,0
01-09-2025,Bihar,Bhojpur,802210,1,2,0
01-09-2025,Bihar,Bhojpur,802223,2,8,0
01-09-2025,Bihar,Bhojpur,802316,1,0,0
01-09-2025,Bihar,Buxar,802118,2,1,0
01-09-2025,Bihar,Buxar,802123,4,7,0
01-09-2025,Bihar,Buxar,802125,1,3,0
01-09-2025,Bihar,Buxar,802130,1,1,0
01-09-2025,Bihar,Buxar,802134,0,6,0
01-09-2025,Bihar,Buxar,802135,0,2,0
01-09-2025,Bihar,Darbhanga,846002,1,2,0
01-09-2025,Bihar,Darbhanga,846005,3,1,0
01-09-2025,Bihar,Darbhanga,846009,4,5,0
01-09-2025,Bihar,Darbhanga,847115,6,1,0
01-09-2025,Bihar,Darbhanga,847123,2,0,0
01-09-2025,Bihar,Darbhanga,847233,1,0,0
01-09-2025,Bihar,Darbhanga,847239,1,1,0
01-09-2025,Bihar,Darbhanga,847405,0,1,0
01-09-2025,Bihar,East Champaran,845416,3,2,0
01-09-2025,Bihar,East Champaran,845418,7,9,0
01-09-2025,Bihar,East Champaran,845428,6,2,0
01-09-2025,Bihar,East Champaran,845432,5,1,0
01-09-2025,Bihar,East Champaran,845456,1,3,0
01-09-2025,Bihar,Gaya,804424,0,2,0
01-09-2025,Bihar,Gaya,823002,2,16,0
01-09-2025,Bihar,Gaya,824205,1,9,0
01-09-2025,Bihar,Gaya,824206,7,6,0
01-09-2025,Bihar,Gaya,824231,3,12,0
01-09-2025,Bihar,Gaya,824235,1,20,0
01-09-2025,Bihar,Gaya,824236,0,9,0
01-09-2025,Bihar,Gopalganj,841407,1,1,0
01-09-2025,Bihar,Gopalganj,841409,3,8,0
01-09-2025,Bihar,Gopalganj,841420,4,0,0
01-09-2025,Bihar,Gopalganj,841426,4,17,0
01-09-2025,Bihar,Gopalganj,841438,3,11,0
01-09-2025,Bihar,Gopalganj,841440,2,1,0
01-09-2025,Bihar,Gopalganj,841501,2,2,0
01-09-2025,Bihar,Gopalganj,841505,2,8,0
01-09-2025,Bihar,Jamui,811313,4,4,0
01-09-2025,Bihar,Jamui,811315,2,9,0
01-09-2025,Bihar,Jamui,811316,0,1,0
01-09-2025,Bihar,Jamui,811317,5,13,0
01-09-2025,Bihar,Jehanabad,804425,0,10,0
01-09-2025,Bihar,Jehanabad,804432,2,7,0
01-09-2025,Bihar,Jehanabad,804433,0,1,0
01-09-2025,Bihar,Kaimur (Bhabua),821105,3,12,0
01-09-2025,Bihar,Kaimur (Bhabua),821108,4,6,0
01-09-2025,Bihar,Kaimur (Bhabua),821109,6,10,0
01-09-2025,Bihar,Kaimur (Bhabua),821110,0,5,0
01-09-2025,Bihar,Katihar,854106,3,2,0
01-09-2025,Bihar,Katihar,854117,6,3,0
01-09-2025,Bihar,Katihar,855105,8,5,0
01-09-2025,Bihar,Khagaria,851202,0,4,1
01-09-2025,Bihar,Khagaria,851216,2,7,0
01-09-2025,Bihar,Khagaria,853203,2,2,0
01-09-2025,Bihar,Kishanganj,855101,31,10,0
01-09-2025,Bihar,Madhepura,852108,1,3,0
01-09-2025,Bihar,Madhepura,852116,2,8,0
01-09-2025,Bihar,Madhepura,852128,8,16,1
01-09-2025,Bihar,Madhubani,847223,6,12,0
01-09-2025,Bihar,Madhubani,847238,0,2,0
01-09-2025,Bihar,Madhubani,847421,3,3,1
01-09-2025,Bihar,Munger,811202,9,9,0
01-09-2025,Bihar,Munger,813201,3,1,1
01-09-2025,Bihar,Muzaffarpur,843105,0,4,0
01-09-2025,Bihar,Muzaffarpur,843106,1,1,0
01-09-2025,Bihar,Muzaffarpur,843112,0,5,0
01-09-2025,Bihar,Muzaffarpur,843115,7,8,0
01-09-2025,Bihar,Muzaffarpur,843128,3,3,0
01-09-2025,Bihar,Muzaffarpur,843312,5,7,0
01-09-2025,Bihar,Muzaffarpur,843360,5,0,0
01-09-2025,Bihar,Muzaffarpur,844120,2,2,0
01-09-2025,Bihar,Nalanda,803101,9,22,0
01-09-2025,Bihar,Nalanda,803113,0,3,0
01-09-2025,Bihar,Nalanda,803114,2,12,0
01-09-2025,Bihar,Nalanda,803116,0,5,0
01-09-2025,Bihar,Nalanda,803213,0,1,0
01-09-2025,Bihar,Nalanda,805130,2,0,0
01-09-2025,Bihar,Nawada,805101,2,2,0
01-09-2025,Bihar,Nawada,805106,1,11,0
01-09-2025,Bihar,Nawada,805141,1,1,0
01-09-2025,Bihar,Patna,800001,1,10,0
01-09-2025,Bihar,Patna,800009,2,5,0
01-09-2025,Bihar,Patna,800013,1,0,0
01-09-2025,Bihar,Patna,800023,0,2,0
01-09-2025,Bihar,Patna,800111,0,1,0
01-09-2025,Bihar,Patna,803212,8,16,0
01-09-2025,Bihar,Purnia,854202,4,5,0
01-09-2025,Bihar,Purnia,854304,12,10,0
01-09-2025,Bihar,Purnia,854315,36,18,0
01-09-2025,Bihar,Purnia,854325,3,1,0
01-09-2025,Bihar,Rohtas,802211,1,4,0
01-09-2025,Bihar,Rohtas,821113,4,11,0
01-09-2025,Bihar,Saharsa,852130,2,1,0
01-09-2025,Bihar,Saharsa,852202,3,6,1
01-09-2025,Bihar,Saharsa,852221,3,15,0
01-09-2025,Bihar,Samastipur,848118,1,0,0
01-09-2025,Bihar,Samastipur,848122,1,1,0
01-09-2025,Bihar,Samastipur,848206,1,2,0
01-09-2025,Bihar,Samastipur,848211,7,5,0
01-09-2025,Bihar,Samastipur,848301,2,3,0
01-09-2025,Bihar,Samastipur,848506,5,5,0
01-09-2025,Bihar,Saran,841101,5,17,0
01-09-2025,Bihar,Saran,841201,1,1,0
01-09-2025,Bihar,Saran,841207,4,10,0
01-09-2025,Bihar,Saran,841208,2,2,0
01-09-2025,Bihar,Saran,841211,2,2,0
01-09-2025,Bihar,Saran,841214,1,2,0
01-09-2025,Bihar,Saran,841216,3,1,0
01-09-2025,Bihar,Saran,841218,1,3,0
01-09-2025,Bihar,Saran,841247,1,0,0
01-09-2025,Bihar,Saran,841313,2,4,0
01-09-2025,Bihar,Saran,841424,4,12,0
01-09-2025,Bihar,Saran,841460,6,3,0
01-09-2025,Bihar,Sheohar,843128,3,1,0
01-09-2025,Bihar,Sitamarhi,843117,5,2,0
01-09-2025,Bihar,Sitamarhi,843302,18,17,0
01-09-2025,Bihar,Sitamarhi,843316,1,3,0
01-09-2025,Bihar,Sitamarhi,843323,3,5,0
01-09-2025,Bihar,Sitamarhi,843331,5,8,0
01-09-2025,Bihar,Sitamarhi,843332,2,4,0
01-09-2025,Bihar,Sitamarhi,843333,16,3,0
01-09-2025,Bihar,Siwan,841203,2,4,0
01-09-2025,Bihar,Siwan,841210,1,5,0
01-09-2025,Bihar,Siwan,841232,3,4,0
01-09-2025,Bihar,Siwan,841233,4,8,1
01-09-2025,Bihar,Siwan,841408,0,3,0
01-09-2025,Bihar,Siwan,841416,1,1,0
01-09-2025,Bihar,Siwan,841436,1,5,0
01-09-2025,Bihar,Supaul,852108,1,3,0
01-09-2025,Bihar,Supaul,852109,3,8,0
01-09-2025,Bihar,Supaul,852123,3,5,0
01-09-2025,Bihar,Vaishali,844112,0,6,0
01-09-2025,Bihar,Vaishali,844114,6,15,0
01-09-2025,Bihar,Vaishali,844115,0,4,0
01-09-2025,Bihar,Vaishali,844118,2,5,0
01-09-2025,Bihar,Vaishali,844119,2,2,0
01-09-2025,Bihar,Vaishali,844120,2,0,0
01-09-2025,Bihar,Vaishali,844121,2,4,0
01-09-2025,Bihar,Vaishali,844125,3,8,0
01-09-2025,Bihar,Vaishali,844126,2,4,0
01-09-2025,Bihar,Vaishali,844503,7,5,0
01-09-2025,Bihar,West Champaran,845102,0,1,0
01-09-2025,Bihar,West Champaran,845106,10,19,0
01-09-2025,Bihar,West Champaran,845107,0,1,0
01-09-2025,Bihar,West Champaran,845450,3,16,1
01-09-2025,Chandigarh,Chandigarh,160002,1,0,0
01-09-2025,Chandigarh,Chandigarh,160030,2,0,0
01-09-2025,Chandigarh,Chandigarh,160036,2,0,0
01-09-2025,Chhattisgarh,Baloda Bazar,493101,7,1,0
01-09-2025,Chhattisgarh,Baloda Bazar,493222,3,0,0
01-09-2025,Chhattisgarh,Baloda Bazar,493332,5,1,0
01-09-2025,Chhattisgarh,Baloda Bazar,493559,4,1,0
01-09-2025,Chhattisgarh,Balrampur,497001,5,0,0
01-09-2025,Chhattisgarh,Balrampur,497118,18,4,0
01-09-2025,Chhattisgarh,Balrampur,497224,6,4,0
01-09-2025,Chhattisgarh,Balrampur,497225,20,15,0
01-09-2025,Chhattisgarh,Bastar,494222,1,2,0
01-09-2025,Chhattisgarh,Bemetara,491337,2,2,0
01-09-2025,Chhattisgarh,Bemetara,491888,1,0,0
01-09-2025,Chhattisgarh,Bijapur,494450,1,0,0
01-09-2025,Chhattisgarh,Bilaspur,495116,6,1,0
01-09-2025,Chhattisgarh,Bilaspur,495119,5,1,0
01-09-2025,Chhattisgarh,Bilaspur,495220,2,0,0
01-09-2025,Chhattisgarh,Bilaspur,495330,2,1,0
01-09-2025,Chhattisgarh,Bilaspur,495550,7,0,0
01-09-2025,Chhattisgarh,Durg,490036,2,2,0
01-09-2025,Chhattisgarh,Durg,491001,13,4,0
01-09-2025,Chhattisgarh,Durg,491331,1,0,0
01-09-2025,Chhattisgarh,Durg,491332,1,0,0
01-09-2025,Chhattisgarh,Gariyaband,493889,4,2,0
01-09-2025,Chhattisgarh,Jashpur,496224,2,0,0
01-09-2025,Chhattisgarh,Jashpur,496225,4,0,0
01-09-2025,Chhattisgarh,Jashpur,496330,5,1,0
01-09-2025,Chhattisgarh,Jashpur,496331,2,2,0
01-09-2025,Chhattisgarh,Jashpur,496334,4,0,0
01-09-2025,Chhattisgarh,Jashpur,496338,2,1,0
01-09-2025,Chhattisgarh,Kawardha,491995,8,1,0
01-09-2025,Chhattisgarh,Kondagaon,494230,1,0,0
01-09-2025,Chhattisgarh,Korba,495446,4,3,0
01-09-2025,Chhattisgarh,Korba,495674,14,2,0
01-09-2025,Chhattisgarh,Korba,495684,4,1,0
01-09-2025,Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,497449,4,0,0
01-09-2025,Chhattisgarh,Raigarh,496115,2,0,0
01-09-2025,Chhattisgarh,Raigarh,496440,3,0,0
01-09-2025,Chhattisgarh,Raipur,492004,1,0,0
01-09-2025,Chhattisgarh,Raipur,492013,3,0,0
01-09-2025,Chhattisgarh,Raipur,493661,7,1,0
01-09-2025,Chhattisgarh,Raipur,493996,1,0,0
01-09-2025,Chhattisgarh,Rajnandgaon,491445,3,0,0
01-09-2025,Chhattisgarh,Rajnandgaon,491557,1,1,0
01-09-2025,Chhattisgarh,Rajnandgaon,491558,0,1,0
01-09-2025,Chhattisgarh,Rajnandgaon,491665,3,0,0
01-09-2025,Chhattisgarh,Rajnandgaon,491888,2,0,0
01-09-2025,Chhattisgarh,Sakti,495692,1,0,0
01-09-2025,Chhattisgarh,Sakti,495695,3,0,0
01-09-2025,Chhattisgarh,Sarangarh-Bilaigarh,493338,1,0,0
01-09-2025,Chhattisgarh,Sukma,494114,2,5,0
01-09-2025,Chhattisgarh,Sukma,494115,3,0,0
01-09-2025,Chhattisgarh,Surajpur,497226,6,0,0
01-09-2025,Chhattisgarh,Surajpur,497229,3,2,0
01-09-2025,Chhattisgarh,Surajpur,497231,6,0,0
01-09-2025,Chhattisgarh,Surguja,497114,3,0,0
01-09-2025,Chhattisgarh,Surguja,497119,1,1,0
01-09-2025,Chhattisgarh,Surguja,497220,7,2,0
01-09-2025,Chhattisgarh,Surguja,497225,2,1,0
01-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,0,1,0
01-09-2025,Delhi,Central Delhi,110005,4,5,0
